NO VOL ATH PERIODS (No Sustained SPY Drawndown Greater than -5%): MAX BULL,,,,,,,,,,,,,,,,,,,,
Start Date,End Date,,,,,,,,,,,,,,,,,,,
Jan 19 2024,July 16 2024,Tickers,Absolute Drawdown (%) Daily Close Price,Absolute Drawdown Date ,Max Drawdown (%),Cumulative Return (%),Annualized Return (%),Sharpe Ratio,Standard Deviation	 (%),Calmar Ratio,Alpha,Beta,Rebound %,Drawdown Bars ,Drawdown Days ,Rebound Bars ,Rebound Days,Total Bars,Total Days ,Key Factors Contributing to the Drawdown
Re-Active Vehicles,,,,,,,,,,,,,,,,,,,,
1/19/2024,7/16/2024,OMNI,-8.97%,4/19/2024,-25.10%,19.80%,44.90%,1.10,41.90%,1.79,0.28,0.14,31.60%,64,91,61,88,125,179,
1/19/2024,7/16/2024,SHIELD,-3.02%,4/12/2024,-6.40%,-0.40%,-0.80%,-0.06,8.20%,-0.13,0.34,-0.40,2.70%,59,84,66,95,125,179,
1/19/2024,7/16/2024,ALPHA,-0.02%,1/31/2024,-10.20%,37.60%,92.50%,1.94,37.60%,9.05,0.29,0.07,37.63%,9,12,116,167,125,179,
Growth Vehicles,,,,,,,,,,,,,,,,,,,,
1/19/2024,7/16/2024,SPY,0.09%,1/31/2024,-5.40%,17.80%,40.00%,3.29,10.50%,7.46,,,17.69%,9,12,116,167,125,179,Market performed well with no drawdowns sustained greater than -5% during this time period
1/19/2024,7/16/2024,QQQ,-1.42%,4/19/2024,-7.10%,18.20%,40.80%,2.38,15.00%,5.75,0.11,0.65,19.90%,64,91,61,88,125,179,
1/19/2024,7/16/2024,GBTC,-5.76%,1/23/2024,-23.60%,56.30%,149.70%,1.92,56.20%,6.33,0.29,0.05,65.85%,3,4,122,175,125,179,
Safe-Haven Vehicles,,,,,,,,,,,,,,,,,,,,
1/19/2024,7/16/2024,TLT,-5.80%,4/25/2024,-10.10%,2.10%,4.30%,0.37,14.30%,0.43,0.33,0.17,8.39%,68,97,57,82,125,179,
1/19/2024,7/16/2024,AGG,-2.10%,4/16/2024,-3.70%,2.30%,4.70%,0.83,5.80%,1.28,0.32,0.54,4.49%,61,88,64,91,125,179,
1/19/2024,7/16/2024,GLD,-1.87%,2/14/2024,-5.80%,21.50%,49.00%,2.74,15.10%,8.49,0.28,0.14,23.82%,19,26,106,153,125,179,
"Nov 9, 2020","Jan 4, 2022",Tickers,Absolute Drawdown (%) Daily Close Price,Absolute Drawdown Date ,Max Drawdown (%),Cumulative Return (%),Annualized Return (%),Sharpe Ratio,Standard Deviation	 (%),Calmar Ratio,Alpha,Beta,Rebound %,Drawdown Bars ,Drawdown Days ,Rebound Bars ,Rebound Days,Total Bars,Total Days ,Key Factors Contributing to the Drawdown
Re-Active Vehicles,,,,,,,,,,,,,,,,,,,,
11/9/2020,1/4/2022,OMNI,0.00%,11/9/2020,-22.10%,498.90%,371.30%,3.25,52.10%,16.81,-0.01,0.17,498.90%,1,0,291,421,292,421,
11/9/2020,1/4/2022,SHIELD,0.00%,11/9/2020,-11.50%,1.00%,0.90%,0.13,13.00%,0.07,0.28,-0.34,1.00%,1,0,291,421,292,421,
11/9/2020,1/4/2022,ALPHA,0.00%,11/9/2020,-20.40%,287.60%,223.30%,3.27,38.20%,10.95,0.08,0.16,287.60%,1,0,291,421,292,421,
Growth Vehicles,,,,,,,,,,,,,,,,,,,,
11/9/2020,1/4/2022,SPY,0.00%,11/9/2020,-5.10%,37.10%,31.40%,2.22,12.70%,6.14,,,37.10%,1,0,291,421,292,421,MAX BULL : Market performed well with no drawdowns sustained greater than -5% during this time period
11/9/2020,1/4/2022,QQQ,0.00%,11/9/2020,-10.90%,38.30%,32.40%,1.68,17.70%,2.99,0.10,0.62,38.30%,1,0,291,421,292,421,
11/9/2020,1/4/2022,GBTC,0.00%,11/9/2020,-57.70%,102.80%,84.40%,1.13,88.20%,1.46,0.24,0.04,102.80%,1,0,291,421,292,421,
Safe-Haven Vehicles,,,,,,,,,,,,,,,,,,,,
11/9/2020,1/4/2022,TLT,-13.81%,3/18/2021,-16.70%,-6.30%,-5.50%,-0.34,13.70%,-0.33,0.27,-0.16,8.71%,89,129,203,292,292,421,
11/9/2020,1/4/2022,AGG,-2.68%,3/18/2021,-3.70%,-1.40%,-1.20%,-0.33,3.50%,-0.32,0.28,0.03,1.32%,89,129,203,292,292,421,
11/9/2020,1/4/2022,GLD,-10.05%,3/8/2021,-13.90%,-3.10%,-2.70%,-0.13,13.70%,-0.20,0.28,0.15,7.73%,81,119,211,302,292,421,
"Oct 28, 2019","Feb 19, 2020",Tickers,Absolute Drawdown (%) Daily Close Price,Absolute Drawdown Date ,Max Drawdown (%),Cumulative Return (%),Annualized Return (%),Sharpe Ratio,Standard Deviation	 (%),Calmar Ratio,Alpha,Beta,Rebound %,Drawdown Bars ,Drawdown Days ,Rebound Bars ,Rebound Days,Total Bars,Total Days ,Key Factors Contributing to the Drawdown
Re-Active Vehicles,,,,,,,,,,,,,,,,,,,,
10/28/2019,2/19/2020,OMNI,0.00%,10/28/2019,-5.00%,78.20%,547.10%,6.37,30.50%,108.66,0.30,0.04,78.20%,1,0,78,114,79,114,
10/28/2019,2/19/2020,SHIELD,0.00%,10/28/2019,-1.20%,-1.10%,-3.30%,-1.85,1.80%,-2.78,0.36,-0.49,-1.10%,1,0,78,114,79,114,
10/28/2019,2/19/2020,ALPHA,0.00%,10/28/2019,-7.60%,46.80%,246.10%,3.87,34.10%,32.41,0.16,0.16,46.80%,1,0,78,114,79,114,
Growth Vehicles,,,,,,,,,,,,,,,,,,,,
10/28/2019,2/19/2020,SPY,-0.03%,10/29/2019,-3.10%,12.10%,44.60%,4.23,8.90%,14.49,,,12.13%,2,1,77,113,79,114,MAX BULL Market performed well with no drawdowns sustained greater than -5% during this time period
10/28/2019,2/19/2020,QQQ,-0.77%,10/29/2019,-2.90%,20.20%,81.20%,5.40,11.30%,28.13,-0.07,0.74,21.13%,2,1,77,113,79,114,
10/28/2019,2/19/2020,GBTC,-29.18%,1/2/2020,-32.50%,16.50%,63.90%,1.11,62.00%,1.96,0.38,0.00,64.50%,46,66,33,48,79,114,
Safe-Haven Vehicles,,,,,,,,,,,,,,,,,,,,
10/28/2019,2/19/2020,TLT,-1.54%,11/8/2019,-4.30%,6.70%,23.50%,1.71,12.90%,5.43,0.45,-0.33,8.37%,10,11,69,103,79,114,
10/28/2019,2/19/2020,AGG,-0.29%,11/8/2019,-1.00%,2.60%,8.80%,2.86,3.00%,8.87,0.49,-1.33,2.90%,10,11,69,103,79,114,
10/28/2019,2/19/2020,GLD,-2.57%,11/27/2019,-3.90%,7.90%,28.00%,2.73,9.30%,7.19,0.48,-0.42,10.75%,23,30,56,84,79,114,
"Jul 12, 2016","Jan 26, 2018",Tickers,Absolute Drawdown (%) Daily Close Price,Absolute Drawdown Date ,Max Drawdown (%),Cumulative Return (%),Annualized Return (%),Sharpe Ratio,Standard Deviation	 (%),Calmar Ratio,Alpha,Beta,Rebound %,Drawdown Bars ,Drawdown Days ,Rebound Bars ,Rebound Days,Total Bars,Total Days ,Key Factors Contributing to the Drawdown
Re-Active Vehicles,,,,,,,,,,,,,,,,,,,,
7/12/2016,1/26/2018,OMNI ,-7.63%,9/13/2016,-11.20%,285.50%,139.20%,2.52,37.40%,12.41,0.17,0.04,317.34%,45,63,346,500,391,563,
7/12/2016,1/26/2018,SHIELD,-1.95%,12/4/2017,-9.30%,-1.90%,-1.20%,-0.10,8.40%,-0.13,0.21,0.10,0.05%,354,510,37,53,391,563,
7/12/2016,1/26/2018,ALPHA ,-5.71%,12/30/2016,-18.80%,64.40%,37.90%,1.25,29.10%,2.01,0.17,0.09,74.36%,121,171,270,392,391,563,
Growth Vehicles,,,,,,,,,,,,,,,,,,,,
7/12/2016,1/26/2018,SPY,-2.49%,11/4/2016,-4.30%,37.40%,22.80%,2.76,7.60%,5.26,,,40.91%,83,115,308,448,391,563,MAX BULL Market performed well with no drawdowns sustained greater than -5% during this time period
7/12/2016,1/26/2018,QQQ,0.00%,7/12/2016,-5.00%,55.60%,33.00%,2.73,10.70%,6.67,0.04,0.57,55.60%,1,0,390,563,391,563,
7/12/2016,1/26/2018,GBTC,-33.62%,9/1/2016,-52.80%,1289.70%,447.60%,2.10,109.20%,8.49,0.20,0.00,1993.55%,38,51,353,512,391,563,
Safe-Haven Vehicles,,,,,,,,,,,,,,,,,,,,
7/12/2016,1/26/2018,TLT,-15.78%,12/14/2016,-16.80%,-8.40%,-5.50%,-0.48,10.70%,-0.33,0.20,-0.12,8.76%,110,155,281,408,391,563,
7/12/2016,1/26/2018,AGG,-3.96%,12/15/2016,-4.30%,-0.40%,-0.20%,-0.07,2.90%,-0.05,0.20,-0.30,3.71%,111,156,280,407,391,563,
7/12/2016,1/26/2018,GLD,-15.58%,12/15/2016,-17.60%,0.70%,0.50%,0.10,10.90%,0.03,0.21,-0.09,19.28%,111,156,280,407,391,563,
,,Tickers,Absolute Drawdown (%) Daily Close Price,Absolute Drawdown Date ,Max Drawdown (%),Cumulative Return (%),Annualized Return (%),Sharpe Ratio,Standard Deviation	 (%),Calmar Ratio,Alpha,Beta,Rebound %,Drawdown Bars ,Drawdown Days ,Rebound Bars ,Rebound Days,Total Bars,Total Days ,Key Factors Contributing to the Drawdown
Re-Active Vehicles,,,,,,,,,,,,,,,,,,,,
1/17/2013,12/18/2014,OMNI,,,,,,,,,,,0.00%,-29494,-41291,29986,41991,492,700,
1/17/2013,12/18/2014,SHIELD,,,,,,,,,,,0.00%,-29494,-41291,29986,41991,492,700,
1/17/2013,12/18/2014,ALPHA,,,,,,,,,,,0.00%,-29494,-41291,29986,41991,492,700,
Growth Vehicles,,,,,,,,,,,,,,,,,,,,
1/17/2013,12/18/2014,SPY,,,,,,,,,,,0.00%,-29494,-41291,29986,41991,492,700,MAX BULL Market performed well with no drawdowns sustained greater than -5% during this time period
1/17/2013,12/18/2014,QQQ,,,,,,,,,,,0.00%,-29494,-41291,29986,41991,492,700,
1/17/2013,12/18/2014,GBTC,,,,,,,,,,,0.00%,-29494,-41291,29986,41991,492,700,
Safe-Haven Vehicles,,,,,,,,,,,,,,,,,,,,
1/17/2013,12/18/2014,TLT,,,,,,,,,,,0.00%,-29494,-41291,29986,41991,492,700,
1/17/2013,12/18/2014,AGG,,,,,,,,,,,0.00%,-29494,-41291,29986,41991,492,700,
1/17/2013,12/18/2014,GLD,,,,,,,,,,,0.00%,-29494,-41291,29986,41991,492,700,